process_name,lifecycle_stage,category_path,location,unit,ref_flow,description,material_tags,semantic_text,Agricultural land occupation,Climate change,Fossil depletion,Freshwater ecotoxicity,Freshwater eutrophication,Human toxicity,Ionising radiation,Marine ecotoxicity,Marine eutrophication,Metal depletion,Natural land transformation,Ozone depletion,Particulate matter formation,Photochemical oxidant formation,Terrestrial acidification,Terrestrial ecotoxicity,Urban land occupation,Water depletion
"Polyethylene high density granulate (PE-HD), production mix, at plant",Raw Materials,Materials production > Plastics,RER,kg,polyethylene high density granulate (PE-HD),,polyethylene,"Process: Polyethylene high density granulate (PE-HD), production mix, at plant | Category: Materials production > Plastics | Lifecycle Stage: Raw Materials | Location: RER | Materials: polyethylene | Unit: 1 kg | Reference Flow: polyethylene high density granulate (PE-HD) | Description:  | Water depletion: 0.019 | Freshwater ecotoxicity: 0.0 | Marine ecotoxicity: 0.0 | Marine eutrophication: 0.0001 | Human toxicity: 0.0018 | Particulate matter formation: 0.0022 | Terrestrial acidification: 0.0059 | Climate change: 1.9999 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0085 | Metal depletion: 0.0002 | Freshwater eutrophication: 0.0",0.0,1.99987771,0.0,4.915e-05,7.4e-07,0.00175456,0.0,1.806e-05,0.00013015,0.00021943,0.0,0.0,0.00217064,0.00851519,0.0058853,2.5e-07,0.0,0.01902941
"Titanium Dioxide, production mix, at plant, Chloride and sulphate processes, > 80% TiO2",Raw Materials,Materials production > Inorganic chemicals,GLO,kg,"Titanium dioxide, chloride and sulphate processes, >80% TiO2, production mix, at plant",,titanium,"Process: Titanium Dioxide, production mix, at plant, Chloride and sulphate processes, > 80% TiO2 | Category: Materials production > Inorganic chemicals | Lifecycle Stage: Raw Materials | Location: GLO | Materials: titanium | Unit: 1 kg | Reference Flow: Titanium dioxide, chloride and sulphate processes, >80% TiO2, production mix, at plant | Description:  | Water depletion: 7.3876 | Freshwater ecotoxicity: 0.0307 | Marine ecotoxicity: 0.0759 | Ozone depletion: 0.0 | Marine eutrophication: 0.001 | Human toxicity: 2.8831 | Particulate matter formation: 0.0118 | Urban land occupation: 0.0637 | Agricultural land occupation: 0.0336 | Terrestrial acidification: 0.038 | Climate change: 5.7323 | Terrestrial ecotoxicity: 0.004 | Photochemical oxidant formation: 0.0229 | Ionising radiation: 0.5672 | Metal depletion: 0.0845 | Freshwater eutrophication: 0.0012 | Natural land transformation: -0.0006",0.03355351,5.73234593,0.0,0.0307189,0.00115549,2.88310377,0.56717492,0.07589727,0.00102727,0.08454933,-0.00060111,5.3e-07,0.01176608,0.02293807,0.03803773,0.0040358,0.0637276,7.38755544
"Process steam from natural gas 90%, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",Product-as-a-Service,Energy carriers and technologies > Heat and steam,HU,MJ,process steam,,natural gas,"Process: Process steam from natural gas 90%, consumption mix, at power plant, heat plant, MJ, 90 % efficiency | Category: Energy carriers and technologies > Heat and steam | Lifecycle Stage: Product-as-a-Service | Location: HU | Materials: natural gas | Unit: 1 MJ | Reference Flow: process steam | Description:  | Water depletion: 0.0 | Freshwater ecotoxicity: 0.0 | Marine ecotoxicity: 0.0 | Marine eutrophication: 0.0 | Human toxicity: 0.0002 | Particulate matter formation: 0.0 | Urban land occupation: 0.0 | Agricultural land occupation: 0.0 | Terrestrial acidification: 0.0001 | Climate change: 0.0865 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0001 | Ionising radiation: 0.0001 | Metal depletion: 0.0002 | Natural land transformation: -0.0",1.208e-05,0.08651194,0.0,3.36e-06,0.0,0.0001795,0.00014512,3.34e-06,4.03e-06,0.00015426,-8e-08,0.0,2.738e-05,0.00012197,7.749e-05,4e-08,1.811e-05,4.175e-05
"Process steam from Light fuel oil 90 %, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",Product-as-a-Service,Energy carriers and technologies > Heat and steam,GB,MJ,process steam,,other,"Process: Process steam from Light fuel oil 90 %, consumption mix, at power plant, heat plant, MJ, 90 % efficiency | Category: Energy carriers and technologies > Heat and steam | Lifecycle Stage: Product-as-a-Service | Location: GB | Materials: other | Unit: 1 MJ | Reference Flow: process steam | Description:  | Water depletion: 0.0 | Freshwater ecotoxicity: 0.0 | Marine ecotoxicity: 0.0001 | Marine eutrophication: 0.0 | Human toxicity: 0.0003 | Particulate matter formation: 0.0001 | Urban land occupation: 0.0 | Agricultural land occupation: 0.0 | Terrestrial acidification: 0.0002 | Climate change: 0.095 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0003 | Ionising radiation: 0.0001 | Metal depletion: 0.0 | Freshwater eutrophication: 0.0 | Natural land transformation: -0.0",4.31e-06,0.09501314,0.0,1.38e-06,2e-08,0.00031552,9.337e-05,8.658e-05,1.164e-05,4.492e-05,-2e-08,0.0,7.755e-05,0.00030645,0.00020235,1.3e-07,6.46e-06,1.097e-05
"Aluminium extrusion profile, production mix, at plant, primary production, aluminium semi-finished extrusion product, including primary production, transformation and   recycling",End-of-Life,Materials production > Metals and semimetals,RER,kg,aluminium extrusion profile,,aluminium,"Process: Aluminium extrusion profile, production mix, at plant, primary production, aluminium semi-finished extrusion product, including primary production, transformation and   recycling | Category: Materials production > Metals and semimetals | Lifecycle Stage: End-of-Life | Location: RER | Materials: aluminium | Unit: 1 kg | Reference Flow: aluminium extrusion profile | Description:  | Water depletion: 5.0727 | Freshwater ecotoxicity: 0.5022 | Marine ecotoxicity: 0.5023 | Ozone depletion: 0.0003 | Marine eutrophication: 0.1693 | Human toxicity: 147.8468 | Particulate matter formation: 3.7743 | Terrestrial acidification: 9.5814 | Climate change: 2460.9803 | Terrestrial ecotoxicity: 0.0485 | Photochemical oxidant formation: 4.7389 | Ionising radiation: 345.1239 | Metal depletion: 5.0322 | Freshwater eutrophication: 0.0056",0.0,2460.9802734,0.0,0.50218251,0.00555422,147.84680195,345.12386144,0.50227396,0.16930239,5.0321734,0.0,0.00028505,3.77428278,4.738898,9.58144022,0.04854365,0.0,5.07274925
"Aluminium sheet, production mix, at plant, primary production, aluminium semi-finished sheet product, including primary production, transformation and recycling",End-of-Life,Materials production > Metals and semimetals,RER,kg,aluminium sheet,,aluminium,"Process: Aluminium sheet, production mix, at plant, primary production, aluminium semi-finished sheet product, including primary production, transformation and recycling | Category: Materials production > Metals and semimetals | Lifecycle Stage: End-of-Life | Location: RER | Materials: aluminium | Unit: 1 kg | Reference Flow: aluminium sheet | Description:  | Water depletion: 6.49 | Freshwater ecotoxicity: 0.6884 | Marine ecotoxicity: 0.7475 | Ozone depletion: 0.0004 | Marine eutrophication: 0.2052 | Human toxicity: 238.8 | Particulate matter formation: 5.3764 | Terrestrial acidification: 12.6316 | Climate change: 3228.613 | Terrestrial ecotoxicity: 0.0718 | Photochemical oxidant formation: 6.2816 | Ionising radiation: 431.5166 | Metal depletion: 6.1844 | Freshwater eutrophication: 0.0065",0.0,3228.61296264,0.0,0.68839301,0.00649722,238.80000845,431.51655302,0.74751114,0.2051563,6.18444344,0.0,0.00035642,5.37638531,6.28164442,12.63160988,0.0718249,0.0,6.48999542
"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",Product-as-a-Service,Energy carriers and technologies > Electricity,HU,MJ,electricity mix,,other,"Process: Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV | Category: Energy carriers and technologies > Electricity | Lifecycle Stage: Product-as-a-Service | Location: HU | Materials: other | Unit: 1 MJ | Reference Flow: electricity mix | Description:  | Water depletion: 0.0016 | Freshwater ecotoxicity: 0.0002 | Marine ecotoxicity: 0.0002 | Ozone depletion: 0.0 | Marine eutrophication: 0.0001 | Human toxicity: 0.0325 | Particulate matter formation: 0.0015 | Terrestrial acidification: 0.0062 | Climate change: 0.6334 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0017 | Ionising radiation: 0.2029 | Metal depletion: 0.0003 | Freshwater eutrophication: 0.0",0.0,0.63336829,0.0,0.00021757,2.76e-06,0.03248903,0.20292004,0.00020453,5.059e-05,0.0003278,0.0,1.7e-07,0.00153456,0.00171155,0.00617699,2.334e-05,0.0,0.00162875
"Electricity Mix, consumption mix, at consumer, AC, 230V",Product-as-a-Service,Energy carriers and technologies > Electricity,SE,MJ,electricity mix,,other,"Process: Electricity Mix, consumption mix, at consumer, AC, 230V | Category: Energy carriers and technologies > Electricity | Lifecycle Stage: Product-as-a-Service | Location: SE | Materials: other | Unit: 1 MJ | Reference Flow: electricity mix | Description:  | Water depletion: 0.001 | Freshwater ecotoxicity: 0.0002 | Marine ecotoxicity: 0.0001 | Ozone depletion: 0.0 | Marine eutrophication: 0.0 | Human toxicity: 0.0042 | Particulate matter formation: 0.0001 | Terrestrial acidification: 0.0002 | Climate change: 0.1121 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0002 | Ionising radiation: 0.2281 | Metal depletion: 0.0002 | Freshwater eutrophication: 0.0",0.0,0.11207461,0.0,0.00022483,8e-08,0.00424746,0.22814374,6.175e-05,9.05e-06,0.0002078,0.0,1.9e-07,7.127e-05,0.00015738,0.00018709,4.87e-06,0.0,0.00098187
"Barge, technology mix, 1.228 t pay load capacity",Raw Materials,Transport services > Water,RER,t*km,transport in t*km,,other,"Process: Barge, technology mix, 1.228 t pay load capacity | Category: Transport services > Water | Lifecycle Stage: Raw Materials | Location: RER | Materials: other | Unit: 1 t*km | Reference Flow: transport in t*km | Description:  | Water depletion: 0.0 | Freshwater ecotoxicity: 0.0 | Marine ecotoxicity: 0.0 | Marine eutrophication: 0.0 | Human toxicity: 0.0001 | Particulate matter formation: 0.0001 | Terrestrial acidification: 0.0003 | Climate change: 0.0274 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0005 | Ionising radiation: 0.0001 | Metal depletion: 0.0 | Freshwater eutrophication: 0.0",0.0,0.02743777,0.0,5.9e-07,8e-08,9.043e-05,6.135e-05,7.02e-06,1.665e-05,5.84e-06,0.0,0.0,0.0001142,0.00046792,0.0002707,8e-08,0.0,2.23e-06
"Steel sections (ILCD), production mix, at plant, blast furnace route / electric arc furnace route, 1 kg",Raw Materials,Materials production > Metals and semimetals,GLO,kg,Steel sections,,steel,"Process: Steel sections (ILCD), production mix, at plant, blast furnace route / electric arc furnace route, 1 kg | Category: Materials production > Metals and semimetals | Lifecycle Stage: Raw Materials | Location: GLO | Materials: steel | Unit: 1 kg | Reference Flow: Steel sections | Description:  | Water depletion: 0.001 | Freshwater ecotoxicity: 0.0 | Marine ecotoxicity: 0.0002 | Ozone depletion: 0.0 | Marine eutrophication: 0.0002 | Human toxicity: 0.0824 | Particulate matter formation: 0.0023 | Terrestrial acidification: 0.004 | Climate change: 1.5999 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0037 | Ionising radiation: 0.0441 | Metal depletion: 0.8276 | Freshwater eutrophication: 0.0",0.0,1.59991216,0.0,3.013e-05,5e-07,0.08240282,0.04405506,0.00015012,0.00019892,0.82760302,0.0,4e-08,0.00229826,0.00371857,0.003963,2.066e-05,0.0,0.00099655
"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",Product-as-a-Service,Energy carriers and technologies > Electricity,EU-27,MJ,electricity mix,,other,"Process: Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV | Category: Energy carriers and technologies > Electricity | Lifecycle Stage: Product-as-a-Service | Location: EU-27 | Materials: other | Unit: 1 MJ | Reference Flow: electricity mix | Description:  | Water depletion: 0.0015 | Freshwater ecotoxicity: 0.0002 | Marine ecotoxicity: 0.0001 | Ozone depletion: 0.0 | Marine eutrophication: 0.0 | Human toxicity: 0.0177 | Particulate matter formation: 0.001 | Terrestrial acidification: 0.0036 | Climate change: 0.5638 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0013 | Ionising radiation: 0.1648 | Metal depletion: 0.0002 | Freshwater eutrophication: 0.0",0.0,0.56379837,0.0,0.00017102,5.5e-07,0.01766309,0.16479314,0.00011344,4.37e-05,0.00017628,0.0,1.4e-07,0.00096848,0.0012908,0.00359471,1.232e-05,0.0,0.00146068
"Process steam from Heavy fuel oil 90 %, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",Product-as-a-Service,Energy carriers and technologies > Heat and steam,SI,MJ,process steam,,other,"Process: Process steam from Heavy fuel oil 90 %, consumption mix, at power plant, heat plant, MJ, 90 % efficiency | Category: Energy carriers and technologies > Heat and steam | Lifecycle Stage: Product-as-a-Service | Location: SI | Materials: other | Unit: 1 MJ | Reference Flow: process steam | Description:  | Water depletion: 0.0001 | Freshwater ecotoxicity: 0.0 | Marine ecotoxicity: 0.0002 | Marine eutrophication: 0.0 | Human toxicity: 0.0098 | Particulate matter formation: 0.0002 | Urban land occupation: 0.0 | Agricultural land occupation: 0.0 | Terrestrial acidification: 0.0008 | Climate change: 0.1017 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0003 | Ionising radiation: 0.0002 | Metal depletion: 0.0001 | Freshwater eutrophication: 0.0 | Natural land transformation: -0.0",1.117e-05,0.10172115,0.0,1.117e-05,2e-08,0.00976797,0.00017209,0.00015625,9.19e-06,0.00012776,-7e-08,0.0,0.00020186,0.00029119,0.00076796,1.371e-05,1.675e-05,5.369e-05
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Product-as-a-Service,Energy carriers and technologies > Electricity,CY,MJ,Electricity,,other,"Process: Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV | Category: Energy carriers and technologies > Electricity | Lifecycle Stage: Product-as-a-Service | Location: CY | Materials: other | Unit: 1 MJ | Reference Flow: Electricity | Description:  | Water depletion: 0.0018 | Freshwater ecotoxicity: 0.0 | Marine ecotoxicity: 0.0003 | Marine eutrophication: 0.0001 | Human toxicity: 0.0155 | Particulate matter formation: 0.0016 | Urban land occupation: 0.0001 | Agricultural land occupation: 0.0 | Terrestrial acidification: 0.0065 | Climate change: 0.9037 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0024 | Ionising radiation: 0.0003 | Metal depletion: 0.0005 | Freshwater eutrophication: 0.0 | Natural land transformation: -0.0",4.882e-05,0.90371333,0.0,3.992e-05,1.6e-07,0.01546837,0.00026848,0.00033097,7.288e-05,0.00048156,-2e-07,0.0,0.00164771,0.00236503,0.00649797,1.764e-05,7.323e-05,0.0017852
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Product-as-a-Service,Energy carriers and technologies > Electricity,EE,MJ,Electricity,,other,"Process: Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV | Category: Energy carriers and technologies > Electricity | Lifecycle Stage: Product-as-a-Service | Location: EE | Materials: other | Unit: 1 MJ | Reference Flow: Electricity | Description:  | Water depletion: 0.003 | Freshwater ecotoxicity: 0.0001 | Marine ecotoxicity: 0.0002 | Marine eutrophication: 0.0001 | Human toxicity: 0.0408 | Particulate matter formation: 0.002 | Urban land occupation: 0.0003 | Agricultural land occupation: 0.0002 | Terrestrial acidification: 0.0065 | Climate change: 1.2141 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0018 | Ionising radiation: 0.027 | Metal depletion: 0.0007 | Freshwater eutrophication: 0.0 | Natural land transformation: 0.0",0.00020783,1.21413646,0.0,0.00012095,3e-08,0.04083671,0.02702578,0.00021143,7.48e-05,0.00069169,-4.378e-05,0.0,0.00197273,0.00177946,0.00650157,1.953e-05,0.00031174,0.00304019
"Process steam from natural gas, consumption mix, at plant, heat plant, MJ",Product-as-a-Service,Energy carriers and technologies > Heat and steam,SI,MJ,process steam from natural gas,,natural gas,"Process: Process steam from natural gas, consumption mix, at plant, heat plant, MJ | Category: Energy carriers and technologies > Heat and steam | Lifecycle Stage: Product-as-a-Service | Location: SI | Materials: natural gas | Unit: 1 MJ | Reference Flow: process steam from natural gas | Description:  | Water depletion: 0.0 | Freshwater ecotoxicity: 0.0 | Marine ecotoxicity: 0.0 | Marine eutrophication: 0.0 | Human toxicity: 0.0002 | Particulate matter formation: 0.0 | Terrestrial acidification: 0.0001 | Climate change: 0.0798 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0002 | Ionising radiation: 0.0 | Metal depletion: 0.0 | Freshwater eutrophication: 0.0",0.0,0.07983503,0.0,1.5e-06,6.9e-07,0.0001591,2.815e-05,1.51e-06,6.58e-06,4.901e-05,0.0,0.0,4.708e-05,0.00018686,0.0001404,9e-08,0.0,5.7e-07
